I,token_tome,token_chv_esq,token_chv_dir,token_ingredients,token_id,token_endline,token_atr,token_for ,token_par_esq,token_par_dir,token_summon,token_echo,token_if,token_while,token_int,token_float,token_string,token_col_esq,token_col_dir,token_and,token_or,token_not,token_le,token_gr,token_eq,token_add,token_sub,token_mul,token_div,token_type_int,token_type_float,token_type_string,gtoken_end,BAR,gtoken_program,gtoken_cmd_init,gtoken_declare_sq,gtoken_cmd_sq,gtoken_operation,gtoken_assign_sq,gtoken_for_sq,gtoken_summon_sq,gtoken_echo_sq,gtoken_control,gtoken_control_struc,gtoken_block,gtoken_expression,gtoken_logic,gtoken_bool_op,gtoken_relacional,gtoken_relacional_op,gtoken_expr,gtoken_term,gtoken_factor,gtoken_id,gtoken_op_logic,gtoken_op_rel,gtoken_op_art_pr,gtoken_op_art_sc,gtoken_value,gtoken_type,BAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,R51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,S27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,S48,,,S82,,,S91,S95,S104,S105,,,,,,,,,,,,,,,,,,,,BAR,,,,28,29,71,73,74,75,72,101,,,,,,,,,,79,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,R1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,S30,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,S48,,,S82,,,S91,S95,S104,S105,,,,,,,,,,,,,,,,,,,,BAR,,,,112,29,71,73,74,75,72,101,,,,,,,,,,79,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,S48,,,,S41,,,,,,S50,S51,S52,,,,,S57,,,,,,,,,,,,BAR,,,,,,,,,,,,,,33,69,38,40,39,49,45,53,,,,,46,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,S70,,,,,,,,,,S34,S35,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,36,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,R38,,,,R38,,,,,,R38,R38,R38,,,,,R38,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,R39,,,,R39,,,,,,R39,R39,R39,,,,,R39,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,S48,,,,S41,,,,,,S50,S51,S52,,,,,S57,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,37,38,40,39,49,45,53,,,,,46,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
